UNIV1311,3
ENGR1101,1
CSE1310,3,;UNIV1311,ENGR1101,CSE1105
CSE1105,1
ENGR1250,2,;MATH1421
MATH1421,4,
MATH1426,4
PHYS1443,4,MATH1426
ENGL1301,3
CSE1320,3,CSE1310
CSE2315,3,CSE1310,MATH1426;ENGR1250
MATH2425,4,MATH1426
PHYS1444,4,PHYS1443;MATH2425
CSE1325,3,CSE1320
CSE2312,3,CSE1320
CSE2100,1,CSE1320
CSE2441,4,CSE1320,CSE2315
CSE3318,3,CSE1320,CSE2315
CSE2440,4,PHYS1444
CSE3323,3,CSE2440
CSE3380,3,CSE2315
IE3301,3,MATH2425
CSE3442,4,CSE2312,CSE2100,CSE2441,CSE2440
CSE3313,3,CSE3318,CSE3380
CSE3320,3,CSE2312
COMS2302,3,ENGL1301,ENGR1250
CSE4342,3,CSE3442,CSE3313,CSE3323
CSE4314,3,COMS2302
CSE4323,3,CSE3320
CSE4316,3,CSE3442,CSE3320;CSE4314
CSE4317,3,CSE4316
